test_code,model,baseline_label,baseline_index,variable,hr,ci_lower,ci_upper,n
TSH,bayesian,1,1,mu,1.160114599260098,0.9874654181373164,1.3629498903922752,2990
TSH,bayesian,1,1,cv,1.1484213445435127,0.9742048433833828,1.353792884074288,2990
VITDT,bayesian,1,1,mu,1.0866561151942884,0.8176751622686306,1.4441205593343038,1017
VITDT,bayesian,1,1,cv,0.9638583807065432,0.7212131680116035,1.2881392343675189,1017
WBC,bayesian,1,1,mu,1.228789376004581,1.111688026646512,1.3582257741288457,8789
WBC,bayesian,1,1,cv,0.9477878714806498,0.8546442493340338,1.0510827751146825,8789
A1C,bayesian,2,2,mu,1.1356351798005555,0.7400310425182631,1.7427204907675384,560
A1C,bayesian,2,2,cv,1.0877717062672103,0.74989464996966,1.577884686873485,560
ALB,bayesian,2,2,mu,0.5904218221346894,0.5450088032335195,0.6396188941988215,14158
ALB,bayesian,2,2,cv,1.2033028309608724,1.1165620890422416,1.2967820752721897,14158
ALK,bayesian,2,2,mu,1.3285257964326174,1.2523034396236172,1.4093874822522163,14160
ALK,bayesian,2,2,cv,1.17482542556555,1.0931875781644869,1.2625598827903994,14160
ALT,bayesian,2,2,mu,0.7462133277651244,0.6735751445010464,0.8266847954236468,12927
ALT,bayesian,2,2,cv,1.329260262666564,1.2423543136282282,1.4222455112214738,12927
AST,bayesian,2,2,mu,0.8869599499992001,0.8162367175650441,0.9638110317426308,12712
AST,bayesian,2,2,cv,1.226709304058516,1.1332931684047534,1.3278256311929753,12712
BIL,bayesian,2,2,mu,0.8325590475730692,0.7659048503547322,0.9050139418424344,13662
BIL,bayesian,2,2,cv,1.0532896808667664,0.9738493594841128,1.1392102289907735,13662
BILD,bayesian,2,2,mu,0.9287827991063492,0.7232114784910121,1.1927873292549596,906
BILD,bayesian,2,2,cv,1.2887141355371834,1.049211272523548,1.5828881814611613,906
BUN,bayesian,2,2,mu,1.2560047829872338,1.1419872404837177,1.3814059903319045,14695
BUN,bayesian,2,2,cv,0.968912070071896,0.8828765660546669,1.0633316543061104,14695
CA,bayesian,2,2,mu,0.9033392734727322,0.8391134241423198,0.9724809775654838,17128
CA,bayesian,2,2,cv,1.2032691899480898,1.1123325487801805,1.3016401840134038,17128
CHOL,bayesian,2,2,mu,0.7061622078225389,0.6212175085291533,0.802722165602647,6363
CHOL,bayesian,2,2,cv,1.1613456453418056,1.0286842409679922,1.311115359058311,6363
CL,bayesian,2,2,mu,0.905482513369294,0.8447226709133677,0.9706127351016252,17406
CL,bayesian,2,2,cv,1.191320658089409,1.1008345500784456,1.2892445193416635,17406
CO2,bayesian,2,2,mu,0.8797147370507887,0.8209579941392227,0.9426767558257022,17845
CO2,bayesian,2,2,cv,1.1882643756811837,1.1016571535708457,1.2816802595401944,17845
CRE,bayesian,2,2,mu,0.9415280724391768,0.8501770749496327,1.04269467774528,16131
CRE,bayesian,2,2,cv,1.2077994677345043,1.1128560732951631,1.3108429645716095,16131
FER,bayesian,2,2,mu,0.9094568561165798,0.6818730778262104,1.2129996036421606,821
FER,bayesian,2,2,cv,1.237548340015695,0.9692840402273268,1.5800589201039692,821
GLU,bayesian,2,2,mu,1.0947963519431831,1.0125375817563336,1.1837378422527918,15294
GLU,bayesian,2,2,cv,1.240629096278652,1.1489498115074983,1.33962383658317,15294
HB,bayesian,2,2,mu,0.7517806919304453,0.6680426931762476,0.846015104322548,11809
HB,bayesian,2,2,cv,1.3384677971855043,1.22810154302254,1.4587523762029313,11809
HCT,bayesian,2,2,mu,0.8053276727751643,0.7241070569619383,0.89565852770242,11546
HCT,bayesian,2,2,cv,1.279666488100872,1.1694957588075725,1.4002156984631355,11546
HDL,bayesian,2,2,mu,0.9646209404828124,0.7944553066572106,1.1712346195195504,5713
HDL,bayesian,2,2,cv,1.127425974739913,0.9553970677747824,1.3304304266693427,5713
HSCRP,bayesian,2,2,mu,1.5733838242250846,1.264513770022736,1.9576984585060249,1644
HSCRP,bayesian,2,2,cv,1.3888631166377472,1.080481669972856,1.7852600468503792,1644
IGAP,bayesian,2,2,mu,1.1895795281162804,1.1129764933759456,1.2714549338063643,18005
IGAP,bayesian,2,2,cv,0.930534831837299,0.8692556639852708,0.9961339444055008,18005
K,bayesian,2,2,mu,1.1015046790177032,1.0282356051937975,1.1799946935986654,17517
K,bayesian,2,2,cv,1.0842926803372483,1.0098415168785997,1.1642327998822737,17517
LD,bayesian,2,2,mu,1.07881624612723,0.7884051333370765,1.4762010591963703,410
LD,bayesian,2,2,cv,0.9640063448653202,0.7040913101551158,1.3198689140700544,410
LYMPH,bayesian,2,2,mu,0.8733188003048616,0.7869178513732984,0.9692062845377232,8170
LYMPH,bayesian,2,2,cv,1.2973708783241762,1.1887214370163854,1.4159509061671305,8170
MCH,bayesian,2,2,mu,0.9752545875068216,0.8995930448609818,1.057279750979046,11929
MCH,bayesian,2,2,cv,1.3181655089079898,1.2261673484783724,1.4170662031009933,11929
MCHC,bayesian,2,2,mu,0.7621802379273377,0.6939458473855858,0.8371239878090804,11939
MCHC,bayesian,2,2,cv,1.1838281964377615,1.0899557125150354,1.2857854521880412,11939
MCV,bayesian,2,2,mu,1.120607314630112,1.0299024736539326,1.2193006480965796,11923
MCV,bayesian,2,2,cv,1.3587523181718266,1.2604428010245368,1.4647295860126643,11923
MG,bayesian,2,2,mu,1.2379591887939876,0.9703662205494832,1.579344911915467,540
MG,bayesian,2,2,cv,0.986663956986707,0.7634813672454626,1.2750877831229117,540
MONOC,bayesian,2,2,mu,1.2016712612089298,1.0898083934605245,1.3250162401761367,8393
MONOC,bayesian,2,2,cv,1.061978624509922,0.9679120192713938,1.165187100130184,8393
,bayesian,2,2,mu,0.9309268238991996,0.8660906703684663,1.000616657244856,17030
,bayesian,2,2,cv,1.2107017336331924,1.116720788218499,1.312591923860217,17030
NONHDL,bayesian,2,2,mu,0.7124326304573279,0.6234416868582217,0.8141262665609542,7803
NONHDL,bayesian,2,2,cv,1.1701575683593108,1.0465725780003898,1.308336147508028,7803
P,bayesian,2,2,mu,1.2380274223611472,1.011084259081945,1.5159091685492898,1063
P,bayesian,2,2,cv,1.0405783944158322,0.8476436566945119,1.2774275916221125,1063
PLT,bayesian,2,2,mu,1.0277978143550632,0.9443284930667566,1.1186450000702963,12133
PLT,bayesian,2,2,cv,1.380768561593191,1.2812976357116483,1.4879617097125324,12133
PROINR,bayesian,2,2,mu,1.3823795345117704,1.103378936602635,1.7319282741801942,555
PROINR,bayesian,2,2,cv,1.0573398212068164,0.8292450465558652,1.3481750685794975,555
PROPAT,bayesian,2,2,mu,1.3856027664930324,1.0883126558382985,1.764102453659606,525
PROPAT,bayesian,2,2,cv,1.013819349731829,0.7876562491003541,1.304921626743438,525
RBC,bayesian,2,2,mu,0.8559463879095217,0.7614548268041385,0.9621637334026754,11332
RBC,bayesian,2,2,cv,1.4229368740888175,1.2739640710524731,1.589330024016241,11332
RDWCV,bayesian,2,2,mu,1.5218815116834756,1.3833053280203904,1.6743399224222757,11495
RDWCV,bayesian,2,2,cv,1.2842655858640524,1.1745119060596971,1.4042753304800524,11495
TNEUT,bayesian,2,2,mu,1.3509997076604214,1.242168570169066,1.4693659571905966,8558
TNEUT,bayesian,2,2,cv,0.9156718219688512,0.8340501708836248,1.0052811147553204,8558
TP,bayesian,2,2,mu,1.0112539848204296,0.932647855263288,1.0964852554413544,13776
TP,bayesian,2,2,cv,1.1301852174590308,1.0451748481497936,1.222109992432436,13776
TRIG,bayesian,2,2,mu,1.1227798677403331,0.9687954101198744,1.3012392691321846,6326
TRIG,bayesian,2,2,cv,0.9492696905694636,0.8142453130990777,1.106684841702242,6326
TSH,bayesian,2,2,mu,1.210542768202443,1.07057111872092,1.3688149885811016,4198
TSH,bayesian,2,2,cv,1.0981282367315033,0.9636079936919846,1.251427584869641,4198
VITDT,bayesian,2,2,mu,1.297799402772475,1.0604276501892411,1.588305708113156,1807
VITDT,bayesian,2,2,cv,0.8499599978612282,0.6884340207680065,1.0493845106003403,1807
WBC,bayesian,2,2,mu,1.1836811410167232,1.093220832906593,1.2816267321520796,11566
WBC,bayesian,2,2,cv,0.975358620174444,0.8988982791378283,1.0583226823629597,11566
A1C,bayesian,3,3,mu,1.3158137477482512,0.9033686001527704,1.9165663035780784,666
